334;FABRICA DE MUEBLES LUGON LTDA;ALMACEN DE MUEBLES-ELECTRODOMESTICOS;47;COMERCIO AL POR MENOR;C 7 No. 2B-34 C.C. LA CALERA ;8751123
335;FARO LA PIZZA;COMIDAS RAPIDAS;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;K 3 No 5-17;
336;FEDERACION COLOMBIANA DE PRODUCTORES DE PAPA FEDEPAPA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;PLAZA DE MERCADO LOCAL 35;8602250
337;FERRELECTRICOS AYALA;FERRETERIA;47;COMERCIO AL POR MENOR;DIAGONAL 23 No. 69 - 60 OF 702;2635301
338;FERRETERIA  H & J ;FERRETERIA;47;COMERCIO AL POR MENOR;KM 2,5 VDA El SALITRE;2773902
339;FERRETERIA AGROPECUARIA;FERRETERIA;47;COMERCIO AL POR MENOR;CARRERA 3 No. 3-77;8602900
340;FERRETERIA LA CALERA LTDA;FERRETERIA;47;COMERCIO AL POR MENOR;AV. 2 No. 10 - 30;3123047050
341;FERRETERIA NORUE;FERRETERIA;47;COMERCIO AL POR MENOR;K 3 No 3-87;8600422
342;FERRETERIA PRECOR;FERRETERIA;47;COMERCIO AL POR MENOR;VEREDA LA AURORA SECTORA LA ESCUELA FINCA LA ESPERANZA;8606628
343;FERRETERIA UNIYEE;FERRETERIA;47;COMERCIO AL POR MENOR;CRA 3 No. 5-07;8601697
344;FERROPANEL CONSTRUCTION SYSTENS LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No. 2-125;8600067
345;FINANCIERA AMERICA SA COMPAÑÍA FINANCIERA;FINANCIERA;64;COMPAÑIAS DE FINANCIAMIENTO COMERCIAL;AV 2 No. 2-10;8603310
346;FM COMUNICACIONES;TELECOMUNICACIONES;61;TELECOMUNICACIONES;AV 2 No. 11-13;8751108
347;FONDO DE EMPLEADOS Y PENSIONADOS FEISSAM;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CENTRO COMERCIAL EL PARAISO LA CALERA LOCAL 201;3213804469
348;FORMAECONST;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 7 No. 4-06 ;8603190
349;FORMAS MANICURE, PEDICURE Y DEPILACION;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;CALLE 11 No. 2 - 10;3102484405
350;FRESQUIPAN;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;KM 7 VIA LA CALERA;8608931
351;FRUTAS VERDURAS Y MAS;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;KM 6 No. 5 - 78;8601277
352;FRUTAS Y VERDURAS CASA BLANCA;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;C 8 No 1-04 DETRÁS PAULO VI;8752138
353;FRUTAS Y VERDURAS HATO GRANDE;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;C 6 No 3 57 C.C. LA CASONA;311469899
354;FRUTAS Y VERDURAS LA GRANJA;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;K 6 No 7-08;8601417
355;FRUTERIA SANDIER;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;K 4 No 7-41;3144256710
356;FRUTERIA SANTA MONIC-  SURTIFLOWER;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;C 9 No 9-54;8757271
357;FRUTICAMPO;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;KM 7 VIA LA CALERA;8608495
358;FRUTIFRUBER;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;AV 2 No 5-29;8600813
359;FUNDACION  GUE QUYNE;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 10 VIA LA CALERA;8609090
360;FUNDACION ATLAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;PLAZA DE MERCADO LOCAL 10;3208343223
361;FUNDACION DELAMUJER;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 7-34;8603815
362;FUNDACION PEDAGOGICA SAN GABRIEL;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 8 No 8-10;3134528872
363;FUNERARIA AVELLANEDA;FUNERARIA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;KM 7 VIA LA CALERA;8608204
364;FUNERARIA CAMPOS DE PAZ;FUNERARIA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;CLL 5 No. 4-18;
365;FUNERARIA PARA MASCOTAS;FUNERARIA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;CARRERA 3 No. 3 - 40;8757440
366;FUTBOL 5 ;RECREACIÓN Y DEPORTE;93; ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;KM 13 VIA LA CALERA;8609799
367;GALERIA DE CORTINAS;ALMACEN;47;COMERCIO AL POR MENOR;K 3 No 2-13;8600106
368;GAS CORDILLERA S.A E.S.P;VENTA DE COMBUSTIBLE;47;COMERCIO AL POR MENOR;KM 2.5 VIA AL RODEO;2351926
369;GAS NATUARAL COMPRIMIDO;VENTA DE COMBUSTIBLE;47;COMERCIO AL POR MENOR;K 2B No 10-10 FLANDES;3114804168
370;GAS NATURAL SA ESP;VENTA DE COMBUSTIBLE;47;COMERCIO AL POR MENOR;K 4 No 5-06;8602753
371;GIMNASIO CAMPESTRE LOS ALPES LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 16 NO. 59 - 41 BOGOTA D.C.;3479574
372;GIMNASIO CAMPESTRE LOS ARRAYANES;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 9 No 61-81 Of 502  BOGOTA ;3476680
373;GIMNASIO ORLY;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 71 No. 75-51;3175353
374;GIMNASIO PEDAGOGICO CARACOLITOS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 71 A No.5 30 BOGOTA D.C ;3144500
375;GLOBAL G Y M;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA LA AURORA ;8606651
376;GLOBAL SEVEN S.A;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA SAN JOSE;8601883
377;GLUCK, FAMOSAS DESDE 2011 S.A.S;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 5 4 - 26 ;3114478729
378;GOLDEN SAPPHIRE;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;LA TOMA;8603668
379;GOLOSINAS CECY;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;K 4 No 11-07;8603350
380;GRAN PESQUERA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV PPAL ESQUINA PLAZA DE MERCADO/SUCURSAL AL LADO DE CORATIENDAS;3143107959
381;GRANERO TRES ESQUINAS;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;KM 5 VIA LA CALERA SOPO;8752109
382;GRANJA ECOLOGIA ACUAMONTE;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;C 6 No 3-57;3203269878
383;GRUPO LFA SAS (CATERING EL TAMBOR);OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 8 No 5-56;8602976
384;GUARDIANES COMPAÑÍA LIDER EN SEGURIDAD;VIGILANCIA PRIVADA;80;ACTIVIDADES DE SEGURIDAD E INVESTIGACION PRIVADA;CALLE 7 No.1-37;3115309845
385;GUIDI SPORT;ALMACEN;47;COMERCIO AL POR MENOR;EL HATO;
386;H.O TELEFONIA;TELECOMUNICACIONES;61;TELECOMUNICACIONES;KILOMETRO 12 VIA LA CALERA;8609848
387;H2O CONSULTING S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CR 47 No. 94 A - 80;7561930
388;HACIENDA MARQUEZ ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;EL TRIUNFO;8606615
389;HATO GRANDE LA GUADALUPANA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 5 No 4-20;8602995
390;HEAL THHFOODSA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 5 No 4-06;8751880
391;HELADERIA Y FRUTERIA BANANAS;HELADERÍA Y/O FRUTERIA;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CR. 23 NO. 124 - 70 OF. 302;8052706
392;HERDI FRUVER;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;VDA EL TRIUNFO;
393;HIGM BERI LAND;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA EL HATO FCA EL LIBANO CASA 25 actividades agosto 2010;8608636 3134517022
394;HOGAR PLASTI J Y D;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 7 VIA LA CALERA;8608495
395;HONOR DE SERVICIOS DE SEGURIDAD LTDA;VIGILANCIA PRIVADA;80;ACTIVIDADES DE SEGURIDAD E INVESTIGACION PRIVADA;CLL 94B No. 56-24 BOGOTA D.C;3171820
396;HOTEL BALCONES DE VENECIA;HOTEL;55;ALOJAMIENTO;C 6 No 4-36;3144327813
397;HOTEL GUARDERIA HUELLA CANINA SAS;HOTEL;55;ALOJAMIENTO;CALLE 9 No. 1- 59;3115866614
398;HOTEL KANINO;HOTEL;55;ALOJAMIENTO;VDA EL HATO;8741200
399;HOTEL SPA LA CASA DEL AGUA;HOTEL;55;ALOJAMIENTO;CALLE 8 No. 2B-16;3204197059
400;HUAWEI TECHNOLOGIES CO LTDA SUCURSAL COLOMBIA;TELECOMUNICACIONES;61;TELECOMUNICACIONES;CARRERA 7 No.  75 - 01;3258900
401;HUMO Y SABOR;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;K 2B No 9-43 piso 2;8751166
402;HUNGRY CHIQUEN;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;VEREDA ALTAMAR LA CALERA;3157988530
403;IDEAS LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CR. 4 No. 59 - 10;8608441
404;IMG COMUNICACIONES;TELECOMUNICACIONES;61;TELECOMUNICACIONES;KILOMETRO 2,4 VIA LA POPA;3204900542/320241611
405;IMGV CONSULTORES Y SERVICIOS S.A.S;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;EDIFICIO PARALELO 108 AV. CAR. 45 No. 108 - 27 TORRE 3 PISO 13 ;3768600
406;INDUSTRIA DE MADERAS EL NOGAL;CARPINTERIA;16;TRANSFORMACIÓN DE LA MADERA Y FABRICACION DE PRODUCTOS DE MADERA Y CORCHO;KM 13 VIA LA CALERA;8609580
407;INDUSTRIA NAL. DE GASEOSAS S.A.;FABRICA;25;FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO;AVENIDA 2 No. 8 - 47 LOCAL 2 ;8603430
408;INDUSTRIAS DIC;FABRICA;25;FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO;CRA 3 No. 2-46;8751136
409;INDUSTRIAS METALICAS J.R.;FABRICA;25;FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO;K 3 No 7-18;8751171
410;INFANTILES ANDREA´S;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 5 No. 2 - 26 APTO. 601 TORRE 1;
411;INFINITI;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VEREDA LA AURORA ALTO DE LA CARBONERA;5101514
412;INGENIERIA TECNICA RAPIGAS LTDA;VENTA DE COMBUSTIBLE;47;COMERCIO AL POR MENOR;VDA STA HELENA KM 2 VIA CHINGAZA;8741787
413;INGENIERO G F SAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 2B No 3-15;8601478
414;INSTITUTO PEDAGOGICO CAMPESTRE;INSTITUCIÓN EDUCATIVA;#N/A;#N/A;K 3 No 8-44;8603181
415;INTERNET JUEGOS DE VIDEO;VIDEO JUEGOS;93;ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;KM 6 VIA LA CALERA;5225669
416;INVERALVA S A S;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 5 No. 3-21;8602421
417;INVERSIONES ALEJANDRO NIETO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 119 NO. 14 A - 26;6291419
418;INVERSIONES AVELLANEDA GUERRERO LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CC. LA CALERA LOCAL 307;8757422
419;INVERSIONES COMPLEMENTARTE SAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 9 No. 2B 60 ;8602797
420;INVERSIONES ELOISA FRANCO Y CIA S.C.S;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 4 No. 9 - 27  BARRIO LAS ESCUELAS;8757380
421;INVERSIONES FAMAE S.A. ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 12 . 5 VIA LA CALERA  VEREDA SAN RAFAEL;8740171
422;INVERSIONES LRP S.A.S.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CJO SAN LUCAS  VIA MUNDO NUEVO;8600571
423;INVERSIONES MACADAMIA S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 3 No. 2-46 ;8600409
424;INVERSIONES MUNDO NUEVO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 6  4 52 PISO 2;8602707
425;INVERSIONES PAEZ BELTRAN LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA  SAN JOSE KM 4 LA CALERA;8609141
426;INVERSIONES PROARSESA S.A;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 4b NO. 89 - 85 OF. 601;2571317
427;INVERSIONES SAN FELIPE Y POSADA SALAZAR LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV CLL 82 No- 10 - 33 OFICINA 1001 ;2570266
428;INVERSIONES Y EQUIPOS SAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 70 No. 7-53  BOGOTA D.C;6060303
429;INVERSORA LOZANO ESCAMILLA S EN C;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;INSPECCION DE MUNDO NUEVO;
430;INVERSORA MORENO S EN C ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;MCP LA CALERA VDA  LA AURORA FINCA  LA ESPERANZA ZA ST ARENAS;8757312
431;JAIMAR;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 82 No.10 33;2570266
432;JANCRIF SIETE CUEROS  S EN C;ALMACEN;47;COMERCIO AL POR MENOR;VDA EL HATO FCA SAN FELIPE  ;8608102
433;JARDIN INFANTIL EL PUEBLITO DE MELON;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 1 No. 5 - 73;8751847
434;JARDIN INFANTIL MI PEQUEÑO GENIO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 4 LA CALERA  SOPO  CASA CAMPO  L 10;2181115
435;JARDIN PLANET SAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM4 LA CALERA SOPO;2181115
436;JELM INVERSIONES SAS ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 3-66;8602272
437;JIMMO'S PIZZA;COMIDAS RAPIDAS;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;VDA El HATO SECTOR LA VIRGEN;8608451
438;JJ SISTEM;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VIA COLEGIO DEPARTAMENTAL CRA 4 No.14-07;8600093
439;JOHANA SPORT;ALMACEN;47;COMERCIO AL POR MENOR;C 3  No. 7 14;8757142
440;JOHNKS.NET;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KILOMETRO 12 VIA BOGOTA , LA CALERA;8609848
441;JOYERIA LIZMAR;JOYERIA;#N/A;#N/A;C 9 No 2A-12;8757427
442;JP COMUNICACIONES;TELECOMUNICACIONES;61;TELECOMUNICACIONES;C 4  No 3 15;86000842
443;JR COMUNICACIONES;TELECOMUNICACIONES;61;TELECOMUNICACIONES;K 3 No 5-20;8751196
444;JUAN MARTIN LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 7 No 2B-16;8602597
445;K¨PRICHOS;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;K 4 No 8-52;8757380
446;KALERANETT COMUNICACIONES;TELECOMUNICACIONES;61;TELECOMUNICACIONES;C 6 No 6-39 CENTRO COMERCIAL RINCON ANDINO;3015890685
447;KAROLL STILOS;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;CRA 2B No. 8-65;8757077
448;KEVIN`S PLAY`S;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 6 No. 4-43;8757474
449;KIOSCO ROJO SALON DE EVENTOS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 124 No. 60-50;6485131
450;K-NINOS;VETERINARIA;75;ACTIVIDADES VETERINARIAS;K 4 No 7-53;8601343
451;K'OBA BAR;BAR;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 7 No. 6-56;8751838
452;KYMS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 4 No 5-22;8751375
453;LA ARROCERIA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;K 4 No. 3-42;8757191
454;LA AVENTURA DE APRENDER;INSTITUCIÓN EDUCATIVA;#N/A;#N/A;LA TOMA;8601986
455;LA CALERA ELECTRICOS;FERRETERIA;47;COMERCIO AL POR MENOR;K 3 No 2-46;8604374
456;LA CANASTA CAMPESINA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;K 4 No 6-11 PISO 1;8601164
457;LA CASETA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;AVENIDA 2 No. 8 - 04/ CALLE 8 No. 1 - 80;8757672
458;LA CONTADINA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CALLE 6 No. 4 - 43;3134960526
459;LA DESPENSA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;K 6 No 2A-31;8601004
460;LA ESPERANZA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;K 3 No 3-86 AV PASEO REAL;8601507
461;LA ESPIGUITA ;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CALLE 7 No.1-37;3115380067
462;LA ESQUINA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;SANTA HELENA;8741793
463;LA ESTACION ;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;KM 9 VIA LA CALERA;8609750
464;LA GOTICA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;PLAZA DE MERCADO LOCAL 20;8602542
465;LA MONITA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;VEREDA SAN JOSE EL TRIUNFO;8606615
466;LA OCTAVA PAPITA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;AV 2B No 7-05;8601766
467;LA PALMA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;K 4 No 10-10;3142979869
468;LA PONDEROSA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;AV 2 No 6-53;3143698372
469;LA PRADERA DE POTOSI CLUB RESIDENCIAL;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;PLAZA DE MERCADO;6320948
470;LA RAMADA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;EL SALITRE;8609722
471;LA RANITA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;PLAZA DE MERCADO LOCAL 12;8602226
472;LA SUBIENDA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;EL TRIUNFO;8606533
473;LA TERTULIA PAISA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;AV 2 No 7-09;8603026/3132679311
474;LA ULTIMA POLA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;KM 19 VIA LA CALERA SOPO;8747000
475;LA VECENCEDORA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No 8B-16;3204012699
476;LABORATORIO LAV;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 4 NO. 7 - 63;8757372
477;LACTEOS JOAR;ELABORACIÓN DE PRODUCTOS LACTEOS;10;ELABORACIÓN DE PRODUCTOS ALMINENTICIOS;K 6 No 2A-35;8601389
478;LACTEOS LA CALERA;ELABORACIÓN DE PRODUCTOS LACTEOS;10;ELABORACIÓN DE PRODUCTOS ALMINENTICIOS;PLAZA DE MERCADO LOCAL 6;8601274
479;LACTEOS QUELEPAN;ELABORACIÓN DE PRODUCTOS LACTEOS;10;ELABORACIÓN DE PRODUCTOS ALMINENTICIOS;C 6 No 4-21;8601865
480;LACTEOS Y POSTRES LA GRANJA;ELABORACIÓN DE PRODUCTOS LACTEOS;10;ELABORACIÓN DE PRODUCTOS ALMINENTICIOS;EL TRIUNFO;8606660
481;LACTIPAN;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;C 6 No 4A-77 CONJUNTO SANTAMARIA LOCAL 7;8603416
482;LANZAR PUBLICIDAD;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;PLAZA DE MERCADO LOCAL 9;8602574
483;LAS DELICIAS DE MAMA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;PLAZA DE MERCADO LOCAL 14;8600901
484;LAS MARQUESAS LA CALERA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 4 No 4-04;8601276
485;LAS SOMBRILLAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2B No 8-74 esquina;
486;LAVASECO FLAMENCO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 5 No 3-75;8752342
487;LAVASECO PASEO REAL;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 8 No 2A-37;3102115909
488;LIBELULA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 7-08 PISO 2 ;8752176
489;LICEO CAMPESTRE  SAN RAFAEL;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA EL HATO;8608164
490;LICORERA MC THOMAS;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CAR 4 No. 10 - 33 Int. 2;8600298
491;LINEA VIVA INGENIEROS LIVING S.A;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 4 No 5-31;8602664
492;LINEAS HERTUR LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 3-51;8601491
493;LLAVES EL DESVARE;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 9 N 2A-20;3125641017
494;LOMA LINDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 3A No. 8A-28;8601835
495;LOOW DISCO;BAR;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;K 3 No  8-71;8751043
496;LOS BARRILES DE LA CALERA;BAR;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;VDA LA AURORA ;8606651
497;LOS MAGOS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 8-20;8602352
498;LOS PINOS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;SAN JOSE EL TRIUNFO;3148883970-8606371
499;LOS SAUCES;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 12 No. 5 - 86  CASA 29;8757542
500;LOS TESOROS DEL DUENDE;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 69 B sur No. 78-56;7809887
501;LUBRICANTES-REPUESTOS AUTO CENTRAL;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;KM 10 EL SALITRE ;8609655
502;LUISA MARIA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 5 No 4-06;8602616
503;M G M  INGENIERIA Y PROYECTOS  S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA SAN CAYETANO;8606629
504;M.E.S- MASCOTAS-EQUIPOS-SERVICIOS;VETERINARIA;75;ACTIVIDADES VETERINARIAS;EL TRIUNFO;8606265
505;MADEMETAL;FABRICA ;#N/A;#N/A;CRA 4 No. 7-43;8752074
506;MADERAS DEL HATO MADERHATO EU;CARPINTERIA;16;TRANSFORMACIÓN DE LA MADERA Y FABRICACION DE PRODUCTOS DE MADERA Y CORCHO;CRA 4 No. 4-33;8602946
507;MADERAS DEL ORIENTE;CARPINTERIA;16;TRANSFORMACIÓN DE LA MADERA Y FABRICACION DE PRODUCTOS DE MADERA Y CORCHO;CALLE 19 SUR No. 28 - 15 B 63 BOGOTA;2021566
508;MADERAS EL GRAN BOSQUE;CARPINTERIA;16;TRANSFORMACIÓN DE LA MADERA Y FABRICACION DE PRODUCTOS DE MADERA Y CORCHO;AVENIDA PASEO REAL No. 9-21;8751995
509;MADERAS EL GUAVIO;CARPINTERIA;16;TRANSFORMACIÓN DE LA MADERA Y FABRICACION DE PRODUCTOS DE MADERA Y CORCHO;LA PORTADA;8603831/3124307632
